,Comments,Comment ID,Reply Count,Like Count
0,"Been wondering about my Ford Explorer 2018. I took it to the dealer and they said no way to change it. In my vehicle, the doors lock when gear is engaged. If I stop the car while engine running I have to hit ‘unlock’ to let people out of the back whether in park or not. They cannot use the door handle to open the door. They would have to unlock the tiny stem to open the door. It is very frustrating. I want the doors to unlock when in park. It is a really bad set of choices for the consumer and I even dangerous in an accident if the rear passengers need to get out without driver intervention.",UgwMvD2MQKmbwEPu1a14AaABAg,0,0
1,I followed the directions explicity. I can not access the Programming mode. I do not get acknowledment from the car that the programming mode is entered and nothing happens after that.,Ugx-0z6-4W25Q_AC29Z4AaABAg,0,0
2,Not work on 18 fusion hybrid,Ugw7726bwidMvRLcrhR4AaABAg,0,0
3,"I have a 22 Puma, can't get it to work 😔",UgxKeATRNSO49NUITwJ4AaABAg,0,0
4,"When you enter the second code, the fight gives out two ""signals""!  And nothing else happens. 2019",UgxSB07GqbUtauZUyDh4AaABAg,0,0
5,"It’s doesn’t work Ford Galaxy 2016 titanium uk model ???
Anyone know about it ???
Thanks",UgzIWTHIDPRW4oaRX3t4AaABAg,1,1
6,"Hi I have Ford Galaxy 2016 titanium uk model , but it’s doesn’t work the programming mode, I try so many times , dose any other options, 
Thanks",UgxQ0hUAty3RsxrCDoB4AaABAg,0,0
7,Tried it several times on my Fusion. Doesn't work.,Ugz1QPz9O2TUiIbhKTh4AaABAg,0,0
8,Nothing happened when I tried this. Just sat in my car and unlocked and locked the doors for a half hr,UgxxY0uorz6b6BTsnDl4AaABAg,0,0
9,"2019 Escape, will not enter programming mode.  Local dealer says the auto door lock cannot be disabled because it is a safety feature.",Ugxplbx-NkRBQ-Vz7cd4AaABAg,0,0
10,"My 2002 F150
The horn sounds 👍 but next time I use truck Doors auto lock again !!!!",UgxB9GPVfKcC2hotFZB4AaABAg,0,0
11,"Tengo una kuga 2013 1.6, para que funcione no hay que prenderla ,hay que ponerla en contacto únicamente ,así si funciona , saludos",UgzTQcwPLsWsHtz-0ap4AaABAg,0,0
12,Does it work on 2014 Focus's?,UgwUwuOdZYsGFUtqs614AaABAg,0,0
13,"Wow, what is so hard to add it to the vehicle setting within sync3 or sync4 without having to go through all that trouble.",Ugzoc6xwrAtFaQf4qj14AaABAg,0,4
14,"I just tried this on my 2013 Fusion S, either I am not doing this fast enough, I am missing a step, or it plain DOESN'T work.  I never get a "" chirp "" in what I think is program mode but I will try to find this process in the owner's manual.   I have an 2006 Mustang premium convertible and I find it has features that Ford also made needlessly complex.  Re-educating the door glass to DROP and the RISE when the engine battery was replaced was a hassle (probably 6 tries) and that was barely covered in the manual.",UgySEgRnfbpMk6q0VDp4AaABAg,0,1
15,I have a Ford Focus Sedan model 2007 and it keeps on unlocking itself and all windows automatically rolls down... How to fix this.,Ugzlh_I321WNx4LfPsx4AaABAg,0,0
16,Mine won't go into programming mode. No horn chirp. Cool.,UgzHTcFpgtFkgH6sj894AaABAg,0,0
