,Comments,Comment ID,Reply Count,Like Count
0,Five whole minutes to scrape away some ice 😂 that's a 30 second job 😂 still think the heated windscreen is a good idea 💡,UgxfCOZUoT7ZGmz11_Z4AaABAg,0,0
1,Amazing that it has been around 26 years (Or is that about 36 now?). Amazing that it only clears 50% of my windscreen (Passenger-side) due to a defect. Admittedly my car is an 08 Focus but it's been apparent for years...,UgzReXT7GnrqsAgPpdF4AaABAg,1,0
2,"Shame that the car refuses to let the heated screen work when the engine is running but the battery isn't 100%..
Dropped the ball there, Ford",Ugy-djFZWilanuW7LCd4AaABAg,5,0
3,I love it in the morning when my wifes car is frozen but mine isnt!Time for a Ford my lovely:),Ugx3SPLgBDe3ODmAyaZ4AaABAg,0,0
4,2:04 that dog has seen terrible things and suffering from PTSD,UgwnkYubFlQzOhmA5194AaABAg,0,0
5,I love this dog ! Sweet !,Ugy1uI-x3jfd81FaGed4AaABAg,0,0
6,Who the hell uses that dumb thing instead of switching Webasto on while you still at home,UgwZJZxHBoErA9_QXQF4AaABAg,0,0
7,So I am the only one that takes 10 seconds to put one of those shiny thermal covers on the windscreen when I know it'll be cold that night? Never have to deal with ice on the windscreen ever.,UgwjCCI3T3XYRnexnXZ4AaABAg,0,0
8,Because in Australia is Winter!,UgxqyJw-zkIlOV8VRd14AaABAg,0,0
9,"You're lucky to have one that works, I've got a 19 plate Galaxy, and as far as i know it's not worked from new, as when i tested everything when i bought it, i noticed the engine revs did not drop when it was turned on, came to use it after a hard frost, nothing, local dealership most unhelpful.",UgzBYtbQqhaiXrpNdTR4AaABAg,0,0
10,Does anyone else heated screen switch itself on? Mine does it every time I drive and it's a 3 year old ranger... the light doesn't come on but the elements are heating (you can see the slight blur) then I randomly switches itself off,UgzsNhsnCNNkycfGhB94AaABAg,0,0
11,"Just turn on the front windscreen defogger, the AC and the heater at full blast with the re-circulation ON.",Ugy5anz_EZvzhHgtcgt4AaABAg,1,1
12,@2:02 Sunny had way too many tranquilizers that day.,Ugzb0glrg6aAhAeLaRJ4AaABAg,0,1
13,The dogs bone dry you absolute weapon                                      :),UgyMdGg1UWFrS1FRQ954AaABAg,0,0
14,Amazing fords finally figured out how to aim the heater at the window congrats,Ugz7lOGesg9Z6771wb14AaABAg,0,0
15,How does it do on nose prints?,UgwpziDKNFiAuUtDXeZ4AaABAg,0,0
16,Been around for 26 years?? Why is this the first time I have heard about this?,UgwlrQI_2KRTtFnJRCR4AaABAg,0,0
17,"actually works at least for the first 3 years then the elements fail and leave you with frozen streaks
also it dazzles  when driving  straight into the sun i know i have one",Ugyyt5qWUuatxwwZCOF4AaABAg,0,0
18,This won't be need for long. With global warming and all.,Ugy_yfhiLRSl_WCr36t4AaABAg,0,0
19,I pour boiling water on my screen on my car 😖😟,UgyPi3x-cWqwfGhSd8N4AaABAg,0,0
20,Nice doggo,UgxwnejHVn2H1Ot9FpB4AaABAg,0,0
21,He didn't mention that the windshield washer jet's are also heated.,UgwkuxlMsqn_ogh-RpR4AaABAg,0,1
22,"Cold room, below freezing and no foggy breath.  Even looked like they might be sweating a bit.",UgwEN5GOMYgk1-WurzN4AaABAg,0,0
23,I don’t know where you live but here in northern Canada takes a lot longer then 20 seconds,Ugxb5u2z3lWKPK3CrBF4AaABAg,0,0
24,I’ve never scrapped ice it doesn’t get that cold here,UgzTk1JZOfVD9Oc0saF4AaABAg,0,0
25,WTF my Focus ST doesn't have this..  Oh wait I live in Florida. I don't see it.,UgygZEmtiCXo2C4Ij0V4AaABAg,0,0
26,"Ford România offers 2 years of warranty, Dacia România offers 5! I'd like a Ford, but not for the warranty of a toaster!",Ugwsbgi9fjYm_eFyxE54AaABAg,0,0
27,Why not just have a built in heating element in the HVAC? Would be more cost effective and faster.,Ugx-h_CAp0l1IWOR8yp4AaABAg,0,0
28,Who the funk put the brits up to this? No talent at all,UgyBAn27tMxXsZlMa6N4AaABAg,0,0
29,Sunny's face was just like mine. Unimpressed.,UgzEgX1yNm2SKNfSSYd4AaABAg,0,0
30,"I had the heated screen in a new transit van. Worked brilliantly. Only problem is seeing the elements in the glass on foggy days, or when the sky is overcast",UgxPQ5Fk7HZmvtfXkRJ4AaABAg,0,3
31,Mine is a Pontiac from 2007 and it has this feature... I also have a van from dodge 2003 or 4 and it has this feature,UgzhrDlR2Zop1zmnyHl4AaABAg,0,0
32,My Chevrolet pickup has this feature. It’s called defrost!,UgwNsaznjPezyWqJHPF4AaABAg,0,0
33,"Had it in my 1999 ford puma . 
So nothing really new..here",Ugw9xEkP2eTl8coWp5d4AaABAg,0,0
34,5 minutes?? i scrape faster than that. plus the dude with the credit card finished at the same time the other car finished up!,UgyM1lhTdxbsVr10qUd4AaABAg,0,0
35,It's called a heated windscreen....,Ugy8BR_JX6QF2qs5oLd4AaABAg,0,0
36,"Yet you still have to scrape your driver, passenger and rear windows.",Ugx3mhtYkT8TPNNn-3R4AaABAg,0,0
