,title,rating,reviews,type,address,operating_hours,phone,website
0,FAW Arquitetura,5.0,36.0,Interior architect office,"R. Manoel Leonardo Gomes, 960 - Liberdade, Campina Grande - PB, 58414-230, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 99606-2600,https://www.instagram.com/fawarquitetura/
1,Raphael Albuquerque Arquitetura,5.0,20.0,Architect,"Empresarial Design Life, R. Otacílio Nepomuceno, 600 - SALA 1009 - Catolé, Campina Grande - PB, 58410-340, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99146-5995,
2,Vila Nova Arquitetura,4.8,15.0,Architect,"R. Otacílio de Albuquerque, 233 - Centro, Campina Grande - PB, 58400-275, Brazil",,+55 83 98129-7217,http://vilanovaarq.com/
3,Alicerce | Escritório de Arquitetura e Engenharia Civil,5.0,23.0,Architect,"R. Aprígio Veloso, 882 Bloco BK, Universitário, Campina Grande - PB, 58449-999, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 2101-1310,
4,Eilson Ramos Arquiteto,5.0,14.0,Architect,"R. Fernandes Viêira, 194 - Mirante, Campina Grande - PB, 58407-490, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 99910-6637,http://www.eilsonramos.com.br/
5,Daleska Rodrigues Arquitetura,5.0,13.0,Architect,"R. João Machado, 267 - Sala 6 - Prata, Campina Grande - PB, 58400-510, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99996-4418,https://daleskaarquitetura.com.br/
6,Matias Arquitetos,5.0,9.0,Architect,"Complexo Heron Marinho - Vila Cabral, Campina Grande - PB, 58408-000, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98772-9528,
7,CRIAR | Crisna Arquitetura,5.0,11.0,Architect,"R. Vig. Calixto, 1754 - Catolé, Campina Grande - PB, 58410-340, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 89 99908-5408,https://www.instagram.com/crisnaarquitetura/
8,Giovanni Lyra - Arquitetura & Interiores,5.0,8.0,Architect,"Empresarial Mundo Plaza, Rua Benjamin Constant, 170, SL1202/03, Estacao Velha, Campina Grande - PB, 58410-003, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 2148-4699,
9,Larissa Brito Arquitetura e Interiores,4.9,8.0,Architect,"R. Quebra Quilos, 47 - Centro, Campina Grande - PB, 58400-208, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 98159-8339,http://www.larissabritoarquitetura.com.br/
10,Anabel Alvarez Arquitetos,4.8,6.0,Architect,"R. Vig. Calixto, 327 - Sandra Cavalcante, Campina Grande - PB, 58410-340, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 3077-8899,
11,Studio W4 Arquitetura,5.0,5.0,Architect,"R. Quintino Bocaiúva - Centro, Campina Grande - PB, 58401-170, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98747-5351,https://www.instagram.com/studiow4arquitetura/
12,Emmanuelle Leão - design - Arquitetura -interiores -móveis projetados- Campina Grande/PB,5.0,5.0,Architect,"R. Ver. Arrojado Lisboa, 121 - sala 101 - Monte Santo, Campina Grande - PB, 58400-640, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–6PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99654-7048,https://emmanuelleleao.business.site/
13,Gabriela Nogueira - Arquitetura Urbanismo Interiores,3.8,16.0,Architect,"Di Pace Nunes, R. Vig. Calixto, 889 - 2 - Catolé, Campina Grande - PB, 58410-253, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99939-0804,
14,Terras Arquitetura e Interiores,5.0,10.0,Interior architect office,"R. Tiradentes, 225 - Centro, Campina Grande - PB, 58400-283, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 99638-2093,https://www.instagram.com/terrasarquitetura_/
15,Planalto Arquitetos,5.0,7.0,Interior architect office,"R. Benjamin Constant, 170 - Estacao Velha, Campina Grande - PB, 58410-003, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3201-6954,http://instagram.com/planaltoarquitetos
16,Lorena Cavalcanti Arquiteta,4.8,4.0,Architect,"R. João Leôncio, 201 - Centro, Campina Grande - PB, 58400-120, Brazil","{'friday': '9AM–6PM', 'saturday': '9AM–12PM', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",+55 83 98806-0553,http://lorenaarquiteta.blogspot.com/
17,Brilhante Filho Arquitetos,3.8,5.0,Architect,"R. Mal. Deodoro Fonseca, 734 - Prata, Campina Grande - PB, 58400-492, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3343-6272,
18,Studio Arquitetura e Interiores,5.0,3.0,Architect,"Tv. Alm. Barroso, 23 - Santa Cruz, Campina Grande - PB, 58417-310, Brazil","{'friday': '8–11AM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8–11AM', 'tuesday': '8–11AM', 'wednesday': '8–11AM', 'thursday': '8–11AM'}",+55 83 99715-1771,http://studiourbanoarquiteturaeinteriores.vitrinevirtual.net/
19,Thiago Faustino Arquiteto,4.0,4.0,Architect,"Ed. Ilfaro, R. Prof. Américo Braga, 33 - Sala 02 - Centro, Campina Grande - PB, 58400-632, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3055-6677,https://www.thiagofaustino.com/
20,Thiago Faustino Arquiteto,4.0,4.0,Architect,"Ed. Ilfaro, R. Prof. Américo Braga, 33 - Sala 02 - Centro, Campina Grande - PB, 58400-632, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3055-6677,https://www.thiagofaustino.com/
21,GM Arquitetura e Construção,5.0,4.0,Architect,"R. Américo Pôrto, N 278 - Lauritzen, Campina Grande - PB, 58401-381, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8–11:30AM', 'tuesday': '8–11:30AM', 'wednesday': '8–11:30AM', 'thursday': '8–11:30AM'}",+55 83 2153-8650,
