,title,rating,reviews,type,address,operating_hours,phone,website,user_review
0,Oika Arquitetura,4.9,26.0,Architect,"Av Ruy Carneiro 303, sala 703, Green Tower, Miramar - João Pessoa-PB, 58032-100, Miramar, João Pessoa - PB, 58038-281, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3045-0843,https://oika.com.br/,
1,Planej | Escritório de Arquitetura e Engenharia Civil,4.8,22.0,Architect,"Universidade Federal da Paraíba, Centro de Tecnologia Bloco CTJ, 2º Andar, Sala CTJ 208, Cidade Universitária, João Pessoa - PB, 58051-900, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99634-2222,http://www.planejpb.com.br/,
2,Ponto Arquitetura,4.7,14.0,Architect,"R. Maria Eduarda de Carvalho Moura Silva, 75 - Jardim Cidade Universitária, João Pessoa - PB, 58051-640, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 99654-1190,,
3,Studio Haus 83 Arquitetura,5.0,63.0,Interior architect office,"R. Zulmira Félix de Carvalho, 205 - Brisamar, João Pessoa - PB, 58033-120, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–2PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99834-0256,https://www.instagram.com/studiohaus.83/,
4,Regina Neri Arquitetura,5.0,13.0,Architect,"Delta center, R. Empresário João Rodrigues Alves, 125 - Bancários, João Pessoa - PB, 58052-750, Brazil","{'friday': '8AM–6PM', 'saturday': '8AM–2PM', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99616-5668,https://www.reginaneriarquitetura.com/,
5,Martins Lucena Architects,5.0,8.0,Architect,"Av. Júlia Freire, 1200 - Sala 808 - Expedicionários, João Pessoa - PB, 58040-040, Brazil","{'friday': '8AM–7PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–7PM', 'tuesday': '8AM–7PM', 'wednesday': '8AM–7PM', 'thursday': '8AM–7PM'}",+55 83 3021-8537,http://www.martinslucena.com/,
6,PRO A2 ARQUITETURA,5.0,11.0,Architect,"Av. Sen. Ruy Carneiro, 300 - Miramar, João Pessoa - PB, 58032-101, Brazil","{'friday': '9AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '9AM–6PM', 'tuesday': '9AM–6PM', 'wednesday': '9AM–6PM', 'thursday': '9AM–6PM'}",,https://www.instagram.com/proa2arquitetos/,
7,Juliana Vitoriano Arquitetura,5.0,7.0,Architect,,"{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",,http://julianavitoriano.com/?utm_source=gmb&utm_medium=referral,
8,Raíra Rolim Arquitetura,5.0,5.0,Architect,"Empresarial Eco Business Center, R. Antônio Rabelo Júnior, 161 - sala 2503 - Miramar, João Pessoa - PB, 58032-090, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 99920-9135,http://www.rairarolim.com/,
9,Renê Venâncio Arquitetura,5.0,6.0,Architect,"R. Custódio Domingos dos Santos - Brisamar, João Pessoa - PB, 58033-370, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98610-7907,,
