,title,rating,reviews,type,address,operating_hours,phone,website,user_review
0,Conscious Construction and Incorporated,4.7,185.0,Construction company,"Av. T-2 com T-55 Qd.99 Lt.09, St. Bueno, Goiânia - GO, 74215-170, Brazil","{'friday': '8AM–7PM', 'saturday': '8AM–7PM', 'sunday': '8AM–5PM', 'monday': '8AM–7PM', 'tuesday': '8AM–7PM', 'wednesday': '8AM–7PM', 'thursday': '8AM–7PM'}",+55 62 3086-5000,http://consciente.com.br/,
1,Pernambuco Construtora,4.5,67.0,Construction company,"Av. República do Líbano, 251 - Pina, Recife - PE, 51110-160, Brazil","{'friday': '9AM–10PM', 'saturday': '9AM–10PM', 'sunday': '12–9PM', 'monday': '9AM–10PM', 'tuesday': '9AM–10PM', 'wednesday': '9AM–10PM', 'thursday': '9AM–10PM'}",+55 81 3125-6464,http://www.pernambucoconstrutora.com.br/pre-home/home/,
2,Construtora Capital,4.3,27.0,Construction company,"Av. Coronel Teixeira, 6225 - Ponta Negra, Manaus - AM, 69037-000, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 92 3236-4378,https://construtoracapital.com.br/,
3,CONEL CONSTRUTORA LTDA,4.5,54.0,Construction company,"Av. Rio Branco, 1281 - Centro, Uberlândia - MG, 38400-058, Brazil",,+55 34 3236-8600,http://www.conel.com.br/,
4,CMO Construtora,4.4,167.0,Home builder,"Walk Bueno Business & Lifestyle, R. T-55, 930 - St. Bueno, Goiânia - GO, 74215-170, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 62 3216-4272,http://cmoconstrutora.com.br/,
5,Sintese Engenharia Ltda.,4.4,42.0,Construction company,"Terrace - Sala:, Av. Conselheiro Furtado, 2865 - Cremação, Belém - PA, 66063-060, Brazil","{'friday': '8AM–6:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6:30PM', 'tuesday': '8AM–6:30PM', 'wednesday': '8AM–6:30PM', 'thursday': '8AM–6:30PM'}",+55 91 4005-3700,http://sintese.eng.br/,
6,AVENIDA CONSTRUTORA,5.0,126.0,Construction company,"R. José Carlos Pacce, 15 - Vila Caiçara, Praia Grande - SP, 11706-305, Brazil","{'friday': '7:30AM–6PM', 'saturday': '9AM–6PM', 'sunday': '10AM–2PM', 'monday': '7:30AM–6PM', 'tuesday': '7:30AM–6PM', 'wednesday': '7:30AM–6PM', 'thursday': '7:30AM–6PM'}",+55 13 99180-9759,http://avenidaconstrutora.com.br/,
7,Emisa Engineering and Commerce,4.6,48.0,Construction company,"Av. Brasil Sul, 3130 - St. Sul Jamil Miguel, Anápolis - GO, 75124-820, Brazil","{'friday': '8AM–6PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 62 3313-1366,https://construtoraemisa.com.br/,
8,Construtora Brascon,4.7,52.0,Construction company,"Av. Sen. Ruy Carneiro, 540 - Miramar, João Pessoa - PB, 58039-181, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98886-0362,https://www.construtorabrascon.com.br/,
9,BLW Construtora e Incorporadora Ltda,4.8,190.0,Construction company,"Av. Olinto Meireles, 2455 - Milionários, Belo Horizonte - MG, 30620-330, Brazil","{'friday': '7AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7AM–5PM', 'tuesday': '7AM–5PM', 'wednesday': '7AM–5PM', 'thursday': '7AM–5PM'}",+55 31 3018-9028,http://www.blwconstrutora.com.br/,
