,title,rating,reviews,type,address,operating_hours,phone,website,user_review
0,Andrade Navy F L M Constructions,4.6,95.0,Construction Company,"Av. Mal. Floriano Peixoto, 1450 - Santo Antônio, Campina Grande - PB, 58406-010, Brazil","{'friday': '7:30am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7:30am–6pm', 'tuesday': '7:30am–6pm', 'wednesday': '7:30am–6pm', 'thursday': '7:30am–6pm'}",+55 83 3341-1575,http://www.andrademarinholmf.com.br/,
1,Cipresa Empreendimentos,4.3,58.0,Home builder,"R. Basílio Araújo, 600 - Catolé, Campina Grande - PB, 58410-200, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 3337-1569,,"""Moro em um empreendimento construído por essa construtora e não ..."""
2,JAR Construções,4.4,34.0,Home builder,"R. José Adnoste Roberto, 1001 - Catolé, Campina Grande - PB, 58410-193, Brazil","{'friday': '7:30am–12pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7:30am–12pm', 'tuesday': '7:30am–12pm', 'wednesday': '7:30am–12pm', 'thursday': '7:30am–12pm'}",+55 83 3182-1100,http://www.jarconstrucoes.com.br/,"""Excelente Construtora!!!"""
3,Construtora Rocha Cavalcante,4.3,95.0,Construction Company,"R. Álvaro de Araújo Pereira, 255 - Jardim Tavares, Campina Grande - PB, 58402-300, Brazil","{'friday': '8am–5:30pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–5:30pm', 'tuesday': '8am–5:30pm', 'wednesday': '8am–5:30pm', 'thursday': '8am–5:30pm'}",+55 83 3341-2148,http://gruporochacavalcante.com.br/,
4,WB Empreendimentos,4.3,20.0,Construction Company,"Pedro Diniz, 115 Loja 3, R. Inácio Marquês da Silva, 265 - Catolé, Campina Grande - PB, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 3343-6365,http://www.wbempreendimentos.com.br/,
5,OUROVEL CONSTRUÇÕES,4.9,17.0,Construction Company,"Av. Pref. Severino Bezerra Cabral, 95 - José Pinheiro, Campina Grande - PB, 58407-283, Brazil","{'friday': '8am–6pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–6pm', 'tuesday': '8am–6pm', 'wednesday': '8am–6pm', 'thursday': '8am–6pm'}",+55 83 3322-7525,http://ourovelconstrucoes.com.br/,
6,Fronteira Engenharia,4.9,13.0,Construction Company,"R. Dr. Severino Cruz, 729 - Centro, Campina Grande - PB, 58400-248, Brazil","{'friday': '8am–4pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–5pm', 'tuesday': '8am–5pm', 'wednesday': '8am–5pm', 'thursday': '8am–5pm'}",+55 83 3321-3793,http://www.fronteiraengenharia.com.br/,
7,Construtora Absolute,5.0,9.0,Construction Company,"R. Lenise Alves Medeiros, 115 - Sandra Cavalcante, Campina Grande - PB, 58410-832, Brazil","{'friday': '7–11am', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7–11am', 'tuesday': '7–11am', 'wednesday': '7–11am', 'thursday': '7–11am'}",+55 83 98826-7664,https://absoluteconstrutora.negocio.site/,
8,RL Construções & Engenharia,4.9,122.0,Building firm,"R. Quebra Quilos, Nº 47 - Centro, Campina Grande - PB, 58400-208, Brazil","{'friday': '8am–4pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8am–5pm', 'tuesday': '8am–5pm', 'wednesday': '8am–5pm', 'thursday': '8am–5pm'}",+55 83 98138-7070,,
9,WANDERLEY CONSTRUÇÕES,4.9,101.0,Building firm,"R. Dr. João Honório de Melo, 54 - José Pinheiro, Campina Grande - PB, 58407-497, Brazil","{'friday': '7am–12pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7am–12pm', 'tuesday': '7am–12pm', 'wednesday': '7am–12pm', 'thursday': '7am–12pm'}",+55 83 3066-1415,http://wanderleyconstrucoes.com.br/,
10,IM Martins,4.0,24.0,Construction Company,"R. Olegário Mariano, 256 - Catolé, Campina Grande - PB, 58410-124, Brazil","{'friday': '7am–5pm', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7am–5pm', 'tuesday': '7am–5pm', 'wednesday': '7am–5pm', 'thursday': '7am–5pm'}",+55 83 3337-1803,http://www.immartins.com.br/,
11,IGRAM Engenharia Construtora - Alan Mayck - Engenheiro Civil,5.0,10.0,Building firm,"Mundo Plaza Empresarial, R. Benjamin Constant, 170 - Centro, Campina Grande - PB, 58410-003, Brazil","{'friday': 'Open 24 hours', 'saturday': 'Open 24 hours', 'sunday': 'Open 24 hours', 'monday': 'Open 24 hours', 'tuesday': 'Open 24 hours', 'wednesday': 'Open 24 hours', 'thursday': 'Open 24 hours'}",+55 83 99830-9234,https://engenheiro-civil-alan-mayck-construtora.negocio.site/?utm_source=gmb&utm_medium=referral,
12,Empreiteira Aguiar Almeida,5.0,10.0,Construction Company,"R. José Augusto Brayner - Pres. Medici, Campina Grande - PB, 58417-745, Brazil","{'friday': '7am–5pm', 'saturday': '7am–12pm', 'sunday': 'Closed', 'monday': '7am–5pm', 'tuesday': '7am–5pm', 'wednesday': '7am–5pm', 'thursday': '7am–5pm'}",+55 83 98660-9039,https://empreiteira-aguiar-almeida.negocio.site/?utm_source=gmb&utm_medium=referral,
