,title,rating,reviews,type,address,operating_hours,phone,website,user_review
0,Construtora Brascon,4.7,52.0,Construction company,"Av. Sen. Ruy Carneiro, 540 - Miramar, João Pessoa - PB, 58039-181, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 98886-0362,https://www.construtorabrascon.com.br/,
1,Construtora Mashia,4.6,30.0,Construction company,"R. Dep. José Mariz, 738 - Tambauzinho, João Pessoa - PB, 58042-020, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3252-1151,http://business.google.com/website/construtora-mashia,
2,ABC Construções LTDA,5.0,58.0,Home builder,"R. Nevinha Cavalcante, 289 - Miramar, João Pessoa - PB, 58043-000, Brazil","{'friday': '8AM–12:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12:30PM', 'tuesday': '8AM–12:30PM', 'wednesday': '8AM–12:30PM', 'thursday': '8AM–12:30PM'}",+55 83 3246-5232,http://www.abcconstrucoes.com.br/,"""Construtora top!! Recomendo."""
3,Construtora Albatroz,4.7,24.0,Home builder,"R. Jurandir Grangeiro Palitot - Conj. Altiplano Cabo Branco, João Pessoa - PB, 58046-085, Brazil",,+55 83 98832-6964,https://www.construtoraalbatroz.com.br/,
4,5 Construções,4.8,21.0,Construction company,"R. Bancário Antônio Jacinto de Souza, 216 - Bancários, João Pessoa - PB, 58051-250, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 3023-5005,http://www.5construcoes.com.br/,
5,Índice,4.5,24.0,Home builder,"R. Abdias Gomes de Almeida, 981 - Tambauzinho, João Pessoa - PB, 58030-000, Brazil","{'friday': '8AM–12PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3243-1744,http://www.construtoraindice.com.br/,
6,Techne,4.1,22.0,Custom home builder,"Av. Pres. Epitácio Pessoa, 4181 - Miramar, João Pessoa - PB, 58045-901, Brazil","{'friday': '8AM–1:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3566-3605,,
7,Alliance Constructions,4.7,91.0,Construction company,"R. Abelardo da Silva Guimarães Barreto, 51 - Altiplano Cabo Branco, João Pessoa - PB, 58046-110, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3533-3333,http://www.alliance.com.br/,
8,Construtora NEO ABC,4.7,65.0,Construction company,"R. Artur Vilhena de Carvalho, 29 - Altiplano Cabo Branco, João Pessoa - PB, 58046-030, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3247-3323,http://construtoraneoabc.com.br/,
9,Dimensional Construções,4.7,44.0,Construction company,"Av. Maria Elizabeth, 99 - Cabo Branco, João Pessoa - PB, 58045-180, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3247-4545,http://www.dimensionalconstrucoes.com.br/,
10,Construtora Daterra,4.5,50.0,Construction company,"Av. Sergipe, 702 - Estados, João Pessoa - PB, 58030-190, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5PM', 'tuesday': '8AM–5PM', 'wednesday': '8AM–5PM', 'thursday': '8AM–5PM'}",+55 83 3224-9075,http://www.construtoradaterra.com.br/,
11,FCK Engenharia,4.9,34.0,Construction company,"R. Rosalinda Jurema, 121 - Brisamar, João Pessoa - PB, 58033-125, Brazil","{'friday': '8AM–5:30PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5:30PM', 'tuesday': '8AM–5:30PM', 'wednesday': '8AM–5:30PM', 'thursday': '8AM–5:30PM'}",+55 83 3224-4974,https://fckimoveis.com.br/,
12,Construtora Equilíbrio,4.6,53.0,Home builder,"R. Silvino Chaves, 361 - Manaíra, João Pessoa - PB, 58038-420, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–6PM', 'tuesday': '8AM–6PM', 'wednesday': '8AM–6PM', 'thursday': '8AM–6PM'}",+55 83 3031-3366,http://www.construtoraequilibrio.com.br/,
13,Tws Empreendimentos Imobiliários,4.4,35.0,Construction company,"R. Ana Guedes Vasconcelos, 81 - Sala 802/803 - Altiplano Cabo Branco, João Pessoa - PB, 58046-092, Brazil","{'friday': '8AM–12PM', 'saturday': '8AM–12PM', 'sunday': 'Closed', 'monday': '8AM–12PM', 'tuesday': '8AM–12PM', 'wednesday': '8AM–12PM', 'thursday': '8AM–12PM'}",+55 83 3252-1479,http://www.tws-empreendimentos.com.br/,
14,Construtora Exata,4.5,8.0,Construction company,"R. Maria Caetano Fernandes de Lima, 381 - Tambauzinho, João Pessoa - PB, 58042-050, Brazil","{'friday': '8AM–5PM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '8AM–5:30PM', 'tuesday': '8AM–5:30PM', 'wednesday': '8AM–5:30PM', 'thursday': '8AM–5:30PM'}",+55 83 3255-1782,https://www.exataempreendimentos.com.br/,
